#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      286.4   324.7    80.4   147.5   178.9   264.1   301.8   325.1   341.4   362.0   388.1   427.8   530.4  5006.3 16925.1   4993.8     5000  1621775161571  1621775166897
read      338.8   544.2    74.4   125.0   147.3   285.4   368.0   416.9   448.5   482.6   524.1   586.1   773.2  5690.3 31187.5   9986.8    10000  1621775168400  1621775173689
read      381.1   277.1    68.9   120.8   141.0   303.9   421.4   534.0   600.5   662.3   729.2   813.9   989.8  2239.1  8005.4  14887.2    15000  1621775175191  1621775180458
read      421.5   408.3    74.4   114.8   132.5   288.8   398.9   551.0   751.9   851.4   942.0  1049.0  1231.9  3774.5 10646.4  20081.3    20000  1621775181961  1621775187248
read      451.4   424.5    68.9   119.4   140.5   308.4   448.2   594.3   774.7   902.7  1007.3  1130.0  1351.6  3491.4 14061.5  24993.0    25000  1621775188750  1621775194035
read      426.7   378.4    68.9   117.5   137.3   284.0   400.8   540.1   744.9   889.9   993.7  1112.9  1313.9  1970.7 11246.7  30041.8    30000  1621775195537  1621775200813
read      437.9   432.5    68.9   113.9   130.9   282.5   373.6   456.9   580.9   982.9  1150.6  1311.6  1553.6  1943.4 10199.9  34838.2    35000  1621775202315  1621775207569
read      448.8   480.7    68.9   114.1   131.6   290.5   373.6   440.5   516.9   982.7  1239.3  1437.8  1725.4  2995.0  9883.7  39944.8    40000  1621775209071  1621775214340
read      458.3   495.1    68.9   115.0   133.5   292.4   374.0   436.1   507.9   859.7  1322.7  1564.9  1879.8  2351.1 13514.0  45052.4    45000  1621775215842  1621775221099
read      439.0   498.0    68.9   111.9   129.3   277.4   355.6   412.5   474.9   601.5  1297.2  1614.7  1976.4  2362.5  9601.7  50005.5    50000  1621775222601  1621775227873
read      445.3   529.9    63.8   109.5   126.8   290.1   369.9   427.8   481.7   562.0  1286.4  1724.6  2165.1  2856.2 12757.1  54977.4    55000  1621775229376  1621775234629
read      443.3   570.0    63.8   112.2   129.8   276.3   356.9   412.2   465.3   550.6  1219.1  1748.0  2299.8  3173.7 16484.7  60022.2    60000  1621775236131  1621775241390
read      430.8   557.1    63.8   109.4   126.1   271.4   347.7   400.3   446.2   509.4   745.7  1838.5  2413.0  2982.7 14304.5  64904.6    65000  1621775242892  1621775248156
