1621325757
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      232.0   230.8    74.4   121.5   133.5   203.8   244.2   268.5   287.7   311.7   343.7   397.4   541.5  2725.1  9096.9  30012.0    30000
read      244.0   250.4    68.9   119.5   133.3   214.3   258.5   284.3   303.9   328.6   362.6   420.7   604.6  3277.4 10071.7  30074.1    30010
read      237.4   230.3    74.4   120.6   133.7   210.2   252.5   277.0   295.9   319.5   351.8   404.4   559.2  2667.0  9248.7  30066.6    30020
read      273.1   276.8    74.4   126.6   140.2   231.3   284.4   314.5   338.4   369.6   414.1   493.3   821.6  4071.2  8529.4  30011.4    30030
read      256.0   226.7    80.4   127.2   139.4   225.2   275.4   303.7   325.0   352.9   390.3   448.4   616.9  3188.5  8769.3  30048.1    30040
read      246.5   251.3    74.4   123.3   135.0   217.6   265.7   291.9   312.0   337.5   372.2   427.6   570.1  2810.7 10879.6  30068.2    30050
read      315.0   617.7    74.4   121.2   133.6   229.1   285.1   319.4   348.7   388.7   445.5   572.7  1987.0  8898.0 19863.5  30078.2    30060
read      292.7   501.0    80.4   121.2   132.9   225.5   281.7   313.2   338.6   371.5   420.7   509.2  1268.4  7518.9 15492.5  30098.5    30070
read      280.5   478.9    74.4   121.2   132.4   217.7   268.9   298.3   322.9   356.3   401.8   486.0  1131.8  7072.4 16260.9  30115.4    30080
read      279.3   472.9    80.4   120.8   132.3   219.0   270.9   300.6   324.6   356.6   401.6   482.1   965.4  7187.0 15786.6  30111.4    30090
read      267.8   376.3    74.4   122.1   135.0   221.1   270.7   300.9   324.7   355.9   397.9   467.8   736.4  5946.9 12668.3  30069.7    30100
read      272.7   249.9    74.4   127.4   141.9   238.5   294.6   327.7   352.6   383.9   426.4   493.9   663.0  2846.8  9488.5  30046.6    30110
read      277.7   249.8    74.4   127.6   142.8   246.0   298.7   330.5   356.0   389.9   436.4   507.1   676.8  2722.5  9667.4  30084.1    30120
read      275.6   242.3    74.4   127.3   142.4   243.4   298.5   331.2   355.5   386.0   427.6   495.9   671.7  2584.6  9750.1  30148.8    30130
read      278.7   239.5    74.4   127.1   142.0   248.0   301.9   335.1   361.4   394.1   436.5   503.7   672.4  2727.2  8742.6  30159.3    30140
read      286.8   233.2    74.4   128.4   144.9   257.8   312.5   345.3   372.5   406.3   452.5   519.9   676.1  2366.7  8965.9  30253.1    30150
read      296.9   252.3    74.4   129.7   146.9   266.5   322.4   357.9   385.6   420.8   467.0   536.7   705.6  3201.3  9408.7  30102.9    30160
read      301.4   227.2    74.4   130.3   149.0   271.0   333.4   369.1   396.4   430.5   476.1   547.6   722.3  2460.1  8996.6  30239.8    30170
read      302.6   221.8    74.4   130.0   147.2   274.6   336.3   371.8   400.6   437.1   483.2   548.0   715.1  2444.6  8130.9  30171.5    30180
read      297.2   232.4    74.4   130.3   146.5   268.3   327.1   362.5   389.7   423.6   467.3   533.4   713.6  2725.9  8649.2  30224.3    30190
read      296.9   245.0    68.9   129.8   145.5   267.8   333.5   369.9   396.0   426.8   465.9   529.0   685.4  2406.8  9731.2  30248.3    30200
read      305.7   255.6    68.9   131.0   148.7   270.3   337.5   380.8   411.4   446.1   489.1   552.1   704.3  2713.9 10352.0  30215.8    30210
read      300.8   244.3    68.9   128.6   147.1   271.4   325.5   361.5   391.9   430.9   477.4   543.9   712.0  2476.8  9573.8  30207.5    30220
read      292.9   230.9    74.4   128.0   145.4   269.6   322.1   354.2   378.0   407.4   449.8   517.7   679.0  2515.0  9719.7  30266.4    30230
read      287.8   257.1    74.4   128.2   144.6   262.7   314.1   345.1   369.4   398.5   437.2   502.6   665.5  3048.8  9874.0  30245.5    30240
read      281.1   225.4    74.4   128.7   144.8   255.6   308.8   339.9   363.8   392.7   430.9   491.2   640.8  2359.4  8548.0  30255.5    30250
