1621324699
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      303.4   229.4    74.4   129.3   147.7   280.6   339.5   372.0   397.4   430.0   473.3   541.2   692.4  2256.3  9190.8  30019.2    30000
read      295.6   246.9    74.4   129.6   145.5   265.1   323.8   361.5   391.6   427.5   471.6   535.6   688.1  2801.8 10490.7  30036.5    30010
read      325.4   404.5    74.4   129.5   146.2   273.8   337.9   378.3   410.5   450.7   500.9   580.0   924.5  6213.6 12608.9  30028.4    30020
read      440.9   656.3    74.4   136.0   156.1   294.9   372.5   423.5   464.3   518.6   607.6  1345.2  3660.7  7426.3 15830.0  29978.8    30030
read      526.2   763.1    74.4   146.7   172.7   325.6   415.7   477.5   533.4   613.6   922.3  1772.0  4031.8  7746.3 17436.5  30039.7    30040
read      514.6   752.2    80.4   143.8   169.1   318.1   404.4   467.2   522.2   598.0   819.9  1742.5  4110.0  7871.1 15929.1  30085.3    30050
read      516.8   773.5    68.9   144.5   170.3   322.8   413.5   474.1   527.7   601.0   805.7  1698.7  4105.7  8451.6 16909.4  30107.1    30060
read      510.6   720.6    74.4   144.9   170.3   327.9   419.2   479.9   531.9   604.0   790.5  1660.6  4004.5  7617.2 15769.1  30068.3    30070
read      501.9   708.6    80.4   144.2   169.3   325.5   413.8   473.3   526.7   598.7   762.1  1625.9  3963.2  7562.1 15950.7  30067.9    30080
read      505.8   791.0    74.4   142.1   166.0   312.2   399.1   458.4   509.0   583.7   806.0  1613.9  4135.7  8390.8 19951.0  30112.2    30090
read      509.6   771.5    80.4   144.0   168.2   317.0   403.5   463.3   515.1   590.7   823.8  1601.4  4167.9  7942.2 16768.4  30129.5    30100
read      497.2   769.6    74.4   139.3   160.2   296.8   384.6   440.7   487.3   553.3   895.8  1597.6  4245.5  7741.7 16167.5  30118.9    30110
read      499.1   790.2    74.4   139.7   161.6   299.1   385.1   443.0   492.9   562.1   789.8  1565.8  4354.5  8083.6 16264.4  30148.0    30120
read      496.4   773.8    80.4   140.6   165.2   325.5   410.9   469.7   522.5   592.6   726.6  1423.0  4212.3  8166.9 20417.1  30225.4    30130
read      485.1   741.3    80.4   137.9   159.5   307.3   392.8   451.8   502.6   572.8   736.3  1428.8  4134.6  7896.7 16141.1  30125.5    30140
read      306.5   474.3    74.4   123.9   137.9   241.4   298.6   334.5   362.9   398.6   448.7   535.2  1426.6  7037.5 14888.0  30134.4    30150
read      269.2   234.6    68.9   125.6   140.8   238.7   290.8   321.0   344.8   374.5   416.6   481.7   647.4  2557.9  8898.5  30153.6    30160
read      259.3   203.7    74.4   125.1   139.2   229.9   279.5   310.7   334.8   364.8   403.1   462.5   607.3  2256.6  8358.0  30122.0    30170
read      263.3   225.6    74.4   124.6   139.3   233.0   282.8   312.8   336.3   366.2   406.0   470.5   634.7  2851.0  9534.5  30203.2    30180
read      263.4   212.8    74.4   124.5   138.9   234.2   283.8   313.4   337.2   367.7   409.2   475.4   641.6  2560.8  7855.7  30172.5    30190
read      269.8   222.7    74.4   124.3   140.0   241.1   291.5   321.6   346.5   378.1   421.6   488.3   654.6  2444.0  8424.1  30247.9    30200
read      266.7   220.5    68.9   124.0   139.3   237.3   287.9   318.4   343.1   374.0   415.8   479.5   637.8  2640.2  8635.3  30211.8    30210
