1621241136
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      279.9   222.0    63.8   108.4   125.7   254.6   311.5   345.9   373.2   405.8   449.7   520.7   669.7  2103.7  8250.6  29986.3    30000
read      269.2   229.9    63.8   106.8   122.8   241.5   298.6   333.6   359.7   390.5   429.5   494.9   637.7  2552.4  8035.8  30087.0    30010
read      325.0   399.1    63.8   108.1   126.7   278.7   342.0   380.9   411.7   451.6   509.3   597.7   936.3  6375.6 11786.7  30056.8    30020
read      347.2   567.7    68.9   107.5   126.7   286.5   346.7   386.5   418.1   459.5   518.9   611.2  1547.6  7844.0 20373.5  29956.3    30030
read    10969749.8 3350629.8 763099.1 778361.1 793623.1 3425040.1 4906694.9 4984118.1 5032507.6 5080897.1 5129286.6 5177676.1 5216387.7 5225097.8 5225968.8      0.3    30040
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30050
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30060
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30070
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30080
read     7265.8 315206.0    68.9   300.6   323.0   410.1   525.5   664.2   712.6   753.9   807.3   914.3  1981.0 20508.6 5116939.6  13532.1    30090
read      307.8   247.1    63.8   109.0   128.2   273.4   339.9   381.2   413.6   457.1   512.7   589.1   788.9  3135.2  8053.6  30052.1    30100
read      289.3   232.0    63.8   109.2   126.4   259.8   319.6   358.9   389.0   427.0   477.7   546.7   713.7  2215.5  8336.6  30118.6    30110
read      282.0   223.4    63.8   106.8   123.5   253.5   313.9   351.5   380.6   416.9   466.3   533.5   678.4  2373.5  8135.7  30080.2    30120
read      287.3   245.6    63.8   107.4   124.1   257.9   316.9   354.5   383.7   421.8   471.4   540.6   707.4  2718.9  8454.4  30126.2    30130
read      273.1   238.4    63.8   105.0   119.5   241.8   302.3   341.2   370.5   405.2   452.0   514.8   655.5  2550.2  8664.7  30139.3    30140
read      293.4   235.9    63.8   106.0   125.4   266.0   326.0   363.4   392.2   432.9   485.5   551.7   725.4  2500.9  9547.0  30225.8    30150
read      273.0   248.1    63.8   105.8   121.1   243.2   302.5   339.8   368.4   402.5   450.7   511.7   644.5  2320.3 10209.6  30114.1    30160
read      292.0   239.8    63.8   107.6   126.0   263.5   324.2   361.5   391.1   432.6   484.2   551.4   717.8  2310.9  8609.2  30168.5    30170
read      280.9   235.5    63.8   105.9   121.4   249.8   309.5   347.4   377.7   417.9   467.9   538.4   689.8  2494.9  8396.9  30208.1    30180
read      293.9   252.7    63.8   107.8   125.8   264.9   324.8   362.5   393.1   434.2   482.8   552.7   729.3  2571.8  9209.2  30117.1    30190
read      282.1   234.7    63.8   106.4   122.1   252.7   313.2   350.8   380.1   419.1   467.4   536.0   688.9  2115.2  9047.7  30303.6    30200
read      294.4   228.8    63.8   107.7   126.6   266.8   327.0   364.3   395.6   437.6   485.6   555.6   726.3  2374.6  8088.5  30223.3    30210
