1621324080
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      221.8   202.8    68.9   117.3   128.6   196.0   232.8   254.9   272.9   296.0   329.2   380.2   513.1  2539.7  8182.4  29968.9    30000
read      228.3   208.8    74.4   116.6   128.0   201.2   243.3   268.1   287.1   311.2   343.3   393.8   535.8  2753.8  8097.2  30010.2    30010
read      228.8   196.0    68.9   119.4   131.1   203.6   243.7   267.5   285.7   308.6   339.2   387.4   533.2  2480.0  7726.4  30030.2    30020
read      273.8   282.8    68.9   123.2   137.0   229.5   282.6   315.3   341.4   373.9   425.0   522.6   898.8  3681.6  9920.9  30030.5    30030
read      252.1   218.9    74.4   125.1   138.9   224.6   271.3   298.6   319.1   344.8   379.9   431.1   590.8  2860.6  8874.8  30098.5    30040
read      250.3   225.5    74.4   124.7   137.5   223.1   270.4   297.7   318.4   344.0   378.6   426.4   551.9  3001.5  9567.7  30071.7    30050
read      286.3   447.7    74.4   121.3   134.4   231.6   282.7   312.5   336.2   366.4   408.4   490.5   962.7  6933.0 15062.2  30011.2    30060
read      271.5   467.1    74.4   117.4   129.0   214.3   259.3   286.3   308.1   336.2   376.3   454.4  1159.4  6919.1 15979.6  30031.5    30070
read      284.9   443.6    74.4   121.0   135.3   231.6   277.7   306.2   328.4   357.4   397.0   471.3   983.3  6753.2 14372.8  30050.8    30080
read      273.8   431.0    74.4   120.2   133.5   225.2   269.4   295.5   316.7   343.5   381.4   450.0   851.5  6798.9 15348.4  30061.0    30090
read      293.7   484.7    74.4   122.3   136.6   239.6   287.7   316.2   339.0   367.9   408.0   482.6  1007.7  7101.5 16518.9  30111.6    30100
read      280.7   448.6    74.4   122.1   135.8   231.0   275.6   302.9   323.9   351.6   390.6   460.2   889.4  7048.9 15321.2  30087.0    30110
read      279.8   447.8    74.4   121.2   135.3   230.1   274.3   302.3   324.1   352.7   392.2   461.7   841.9  7027.9 15900.6  30147.0    30120
read      307.5   486.9    80.4   124.9   140.7   252.1   302.9   334.6   359.4   390.2   431.8   511.2  1170.5  7206.2 15997.1  30105.5    30130
read      291.6   434.4    80.4   123.2   137.9   241.9   290.8   320.1   343.6   372.9   412.8   484.2   879.7  6786.9 12856.8  30117.2    30140
read      282.9   422.9    74.4   121.4   135.5   235.7   282.5   311.4   334.0   362.3   399.4   464.6   782.4  6596.2 14525.3  30143.5    30150
read      307.9   459.1    80.4   123.9   139.4   256.0   308.4   341.1   366.8   397.5   437.9   510.2  1005.6  6939.5 15185.0  30205.4    30160
read      292.0   427.7    74.4   123.7   138.4   242.8   292.5   323.6   347.5   376.7   416.1   483.8   887.1  6664.0 12835.6  30212.7    30170
read      317.7   442.1    74.4   125.4   141.9   265.8   322.9   358.4   385.5   418.6   463.4   542.5   986.3  6792.2 15437.7  30161.0    30180
read      333.3   490.2    74.4   126.3   143.3   277.7   336.2   373.0   402.2   438.7   487.5   572.9  1167.0  7328.6 16231.4  30177.1    30190
read      317.8   446.1    74.4   125.1   141.7   269.7   324.6   359.4   386.2   419.0   462.8   539.6   870.2  6837.0 15649.4  30196.9    30200
read      330.9   447.8    74.4   127.0   144.3   278.3   334.5   370.5   399.6   437.4   489.2   571.2  1080.2  6844.0 14425.3  30219.6    30210
read      286.1   242.4    74.4   128.5   144.6   258.8   310.4   340.9   365.9   398.3   441.4   506.1   672.3  3103.2  9590.0  30166.6    30220
read      291.3   249.2    74.4   128.3   145.0   261.9   314.8   350.2   379.9   416.4   461.4   528.6   679.6  2645.4 11393.4  30247.2    30230
