1621241751
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      297.8   252.0    63.8   108.4   126.3   265.7   326.9   368.5   404.1   444.3   494.2   579.2   740.4  2529.7 10372.3  29982.0    30000
read      278.6   230.9    63.8   104.8   119.4   245.6   308.1   346.9   379.0   417.9   464.8   536.4   688.6  2483.8  8126.8  29992.8    30010
read      346.3   503.0    68.9   106.4   124.0   282.5   355.7   406.5   442.9   487.6   551.8   651.8  1147.3  7210.2 19639.2  30027.1    30020
read      534.4 12186.0    68.9   106.8   125.2   285.6   360.9   411.9   448.5   494.4   561.7   668.9  1918.4  8342.4 578269.6  21532.9    30030
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30040
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30050
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30060
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30070
read      614.2 20194.2    63.8   110.3   129.0   285.2   354.3   398.4   434.7   482.7   548.2   649.0   867.8  6205.0 1441591.3  30052.7    30080
read      306.8   267.1    63.8   107.5   126.3   268.5   336.0   386.6   422.8   463.0   519.3   603.5   774.8  2810.9  9706.9  30078.6    30090
read      292.2   251.6    63.8   107.0   124.3   259.0   320.3   364.6   398.1   434.8   484.4   564.7   722.9  2668.9 10045.0  30095.7    30100
read      291.9   253.6    63.8   107.5   124.8   260.2   320.3   363.7   397.3   433.6   480.0   555.9   714.5  2353.6 10344.7  30052.9    30110
read      284.1   232.4    63.8   106.7   123.4   252.7   313.0   355.3   390.1   426.6   468.0   535.4   684.1  2384.4  8608.5  30165.6    30120
read      286.7   259.3    63.8   106.4   123.9   254.8   312.7   355.9   391.8   428.3   470.7   540.3   683.8  2449.0 10165.0  30101.1    30130
read      288.6   246.6    63.8   107.0   126.2   258.8   312.4   354.7   392.5   429.6   472.5   542.3   688.6  2611.0  8745.9  30159.0    30140
read      280.6   242.5    63.8   106.9   123.4   251.2   305.5   344.4   379.6   416.6   460.3   526.0   662.9  2582.3  8660.2  30193.5    30150
read      281.8   229.8    59.1   105.9   124.3   253.5   307.5   345.7   381.6   418.3   461.3   529.2   673.0  2374.8  8727.8  30227.5    30160
read      263.7   227.5    63.8   105.5   120.7   235.0   289.4   323.4   354.7   389.5   429.8   489.1   613.4  2423.9  9442.6  30144.8    30170
read      265.7   225.7    63.8   105.3   121.0   237.2   290.8   324.1   354.8   390.2   431.1   495.0   629.4  2492.5  8534.4  30180.9    30180
read      360.2   521.6    63.8   109.0   128.5   266.2   334.8   375.9   407.6   450.1   521.3   703.2  2461.8  5065.2 17103.7  30174.9    30190
read      274.1   227.7    63.8   106.5   124.4   245.6   295.2   333.0   367.9   404.6   446.5   509.3   650.9  2505.0  8370.3  30207.2    30200
read      269.4   240.5    63.8   104.5   120.8   238.6   293.7   330.5   363.2   398.6   439.2   504.0   636.5  2457.1  8686.3  30193.6    30210
read      273.8   234.3    63.8   105.1   122.8   243.8   296.4   334.7   367.6   402.3   444.4   509.9   657.5  2410.2  8637.7  30219.4    30220
read      270.6   237.3    63.8   105.0   121.8   239.3   294.4   332.8   365.1   399.5   440.2   504.2   640.9  2631.1  9183.8  30321.1    30230
read      273.8   225.7    63.8   105.4   122.6   243.4   297.0   335.5   367.5   402.2   445.8   512.5   652.6  2609.0  8438.0  30197.8    30240
read      277.5   229.9    63.8   105.3   123.7   247.9   300.7   340.3   373.0   406.8   450.4   520.7   675.0  2458.1  9050.1  30207.1    30250
read      272.0   215.3    63.8   107.2   124.3   242.9   291.4   329.9   366.4   403.8   445.9   505.6   649.4  2337.9  7918.0  30284.9    30260
read      267.6   196.0    63.8   104.9   121.4   238.1   292.6   330.9   362.1   396.5   438.1   503.2   637.0  2115.6  7543.0  30372.1    30270
read      275.9   235.8    63.8   105.1   123.4   246.3   296.9   336.4   369.4   403.3   448.4   517.3   661.1  2586.6  8031.5  30248.4    30280
read      265.2   224.0    63.8   103.5   119.3   234.3   288.7   327.4   359.1   394.1   436.4   499.6   624.2  2418.4  9657.3  30264.6    30290
read      263.4   212.3    63.8   104.2   119.8   234.3   289.1   326.2   356.0   388.6   429.1   491.9   625.5  2221.2  8253.9  30237.7    30300
read      272.6   211.8    63.8   105.7   123.4   243.6   296.6   336.8   367.6   401.3   445.0   512.4   649.1  2173.1  8709.3  30308.3    30310
