1621325206
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      254.2   252.6    74.4   122.0   135.6   221.9   269.6   299.6   322.8   352.6   391.8   453.5   621.2  2935.6 10160.1  29989.4    30000
read      255.6   237.6    74.4   121.2   135.2   226.2   276.9   307.1   329.2   356.4   393.4   454.1   616.8  2366.0  9761.8  29997.4    30010
read      277.0   358.4    74.4   121.8   134.6   230.2   286.3   318.4   342.8   373.6   418.0   499.4   800.0  5669.6 12912.7  30037.0    30020
read      373.0   672.2    80.4   125.3   139.6   256.1   321.2   365.1   400.8   454.0   537.7   746.8  3217.0  8701.9 19096.4  30021.8    30030
read      462.4   688.5    74.4   133.1   152.7   291.2   377.7   445.9   504.8   594.2   798.1  1247.8  4408.5  7555.7 15104.0  30095.4    30040
read      466.4   699.0    74.4   133.9   154.2   300.4   391.2   457.0   514.0   601.1   774.6  1229.0  4324.2  7737.2 16195.8  30049.8    30050
read      465.5   710.8    74.4   134.0   153.7   292.1   382.7   448.9   508.9   597.5   774.4  1241.5  4460.2  7970.8 15444.2  30049.7    30060
read      478.7   713.7    74.4   137.3   158.9   316.7   404.9   468.3   526.4   608.2   744.5  1213.8  4497.2  7824.8 15683.3  29971.0    30070
read      462.2   707.3    80.4   133.9   153.1   296.3   384.7   446.7   501.6   581.3   766.6  1242.5  4380.1  7559.6 17128.0  30022.8    30080
read      509.5   746.7    74.4   144.9   167.7   317.9   414.9   486.3   544.3   629.9   868.7  1345.0  4553.8  6967.5 15728.5  30141.6    30090
read      477.6   639.2    74.4   144.0   167.8   329.0   421.5   484.4   537.4   609.2   752.3  1256.3  3613.0  6847.5 14925.6  29999.6    30100
read      531.8   779.2    74.4   148.9   170.9   319.4   418.4   489.2   548.4   650.7   989.3  1451.0  4594.9  6325.1 15542.0  30084.7    30110
read      529.6   763.5    80.4   149.7   172.6   319.3   422.0   499.0   562.7   665.3   967.0  1424.7  4483.9  6245.3 15399.0  30119.6    30120
read      538.8   792.5    80.4   151.0   175.0   324.7   427.7   505.1   567.6   662.7   940.9  1421.8  4570.5  6775.7 15406.8  30171.8    30130
read      539.0   781.8    74.4   152.9   178.0   332.2   435.3   511.3   573.9   661.6   910.8  1411.6  4450.9  6345.8 15878.3  30117.3    30140
read      299.8   471.8    68.9   121.1   134.4   231.3   285.8   318.3   344.4   379.6   432.6   534.7  1496.5  6723.5 11882.8  30103.0    30150
read      241.9   210.8    74.4   119.6   132.6   214.2   259.6   286.6   307.3   333.6   369.9   429.4   579.2  2000.5  8778.7  30231.5    30160
read      243.0   201.0    68.9   121.1   134.4   215.7   260.4   286.8   307.1   333.1   369.1   427.5   579.7  2213.8  8539.8  30154.7    30170
read      241.0   211.6    68.9   120.6   133.8   213.9   257.4   283.2   302.8   328.2   363.4   419.8   572.2  2502.8  8178.2  30161.3    30180
read      235.2   202.2    74.4   120.2   132.4   208.4   251.4   276.8   296.6   321.6   356.0   409.2   551.1  2026.9  7899.7  30184.1    30190
read      241.9   205.2    74.4   120.3   133.7   215.3   259.9   285.6   305.1   329.4   363.1   419.8   571.1  2532.5  8373.7  30116.8    30200
read      242.6   202.0    74.4   120.7   134.3   216.5   261.7   287.2   306.4   330.4   363.3   420.1   574.7  2475.0  7868.5  30212.8    30210
read      236.1   223.8    74.4   121.7   134.0   208.2   249.9   274.8   294.3   318.4   352.8   409.0   542.9  2523.5  9539.7  30195.8    30220
