Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622188855643
Timestamp end: 1622190656034

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      311.9   957.6    80.4   136.2   154.3   242.2   272.0   289.8   303.5   321.0   350.9   416.8  1722.1  9211.0 36999.1   5000.9     5031
read      493.7   677.7    63.8   113.3   133.4   313.2   403.5   470.0   534.1   675.3  1339.4  1779.3  2298.5  6430.0 24612.5  54784.4    54838
read      874.8  2284.3    68.9   210.5   262.1   375.3   497.7   628.3   686.3   775.6  1509.7  1967.8 12356.1 31504.2 38806.9  74803.0    74868
read      461.4   714.1    68.9   112.9   132.0   307.9   405.8   492.7   600.4   849.4  1050.4  1229.9  1742.2  7828.6 31368.9  30018.1    30015
read      361.6   526.6    68.9   112.9   130.5   282.9   358.9   407.0   446.7   497.9   578.4   895.6  1560.1  4915.1 22242.3  40758.7    40743
read      416.9   821.1    68.9   114.5   129.7   268.8   372.3   460.1   561.5   676.2   786.9   969.3  2554.3  6950.0 35645.1  23676.0    23648
read      684.3  1489.4    74.4   258.7   291.5   400.0   490.8   611.5   672.5   741.0   851.4  1633.1  7137.2 21654.9 36631.1  97659.6    97712
read      436.9   792.7    63.8   109.3   126.4   274.4   360.8   418.1   468.4   544.8   764.7  1407.4  2742.3  7518.4 31483.5  53694.9    53672
read      519.9  1085.9    68.9   117.3   138.0   308.5   401.2   465.9   531.3   653.5  1062.6  1690.6  2869.4 16765.1 32416.1  55522.9    55395
read      324.9   317.8    68.9   106.2   120.2   247.6   331.5   386.7   433.6   502.3   632.2   825.1  1277.1  2525.5  8481.9  29421.0    29425
read      328.2   371.9    68.9   114.6   131.4   270.2   352.2   409.9   460.3   523.8   596.5   697.3   916.3  2982.1 14632.7  15162.3    15173
read      763.5  2187.7    63.8   173.1   234.5   361.6   452.4   566.0   622.4   673.6   764.8  1652.8 12419.5 31296.1 39218.7  82519.4    82475
read      963.1  2677.5    74.4   283.5   301.4   373.3   519.5   627.4   665.8   711.4   848.5  1889.5 12772.7 31933.7 39896.4  90435.7    90555
read      633.4  1463.0    68.9   117.0   146.6   336.4   429.7   539.2   629.4   906.5  1512.8  1797.0  3844.3 27553.3 37046.0  48076.8    47944
read      473.6   626.5    63.8   113.8   133.8   312.9   443.0   602.5   781.9   904.5  1008.9  1146.1  1659.5  7376.5 30488.8  28345.6    28313
read      474.5   624.2    68.9   111.3   130.7   314.1   431.7   550.2   780.2   932.2  1048.5  1198.6  1617.6  6749.4 29634.6  28507.5    28504
read      444.5   769.1    68.9   112.8   131.3   295.3   417.7   540.8   671.4   772.9   873.4   996.3  2080.0  8952.1 31894.0  22939.9    22886
read      401.7   608.0    68.9   107.3   121.9   258.9   350.6   416.2   485.0   617.2   845.3  1116.5  2621.8  5480.3 21634.1  35834.6    35717
read      358.3   701.1    68.9   109.2   123.7   268.5   355.7   420.6   473.2   535.5   611.6   737.4  1476.4  8111.7 31662.0  14800.2    14828
read      742.7  2025.7    68.9   167.6   218.7   354.7   440.4   544.9   609.2   667.2   775.9  1797.4 12007.7 30925.2 38145.6  81551.5    81704
read      585.3  1198.7    68.9   115.4   137.3   307.7   403.0   488.0   587.0   932.8  1423.5  1822.7  4447.1 13978.6 34371.7  55769.5    55771
read      729.5  1914.2    68.9   179.6   231.0   363.2   455.0   553.8   614.4   675.7   799.7  1768.3  9240.9 30919.3 37736.5  85157.8    85226
read      698.3  1561.9    63.8   146.6   182.8   347.8   447.4   556.5   638.3   793.8  1500.0  1985.0  6917.2 27083.5 37061.5  75128.4    75020
read      334.0   612.8    74.4   112.3   128.5   267.7   345.1   399.2   441.4   492.0   554.0   656.5   956.3  5591.8 31936.2  12417.2    12441
read      552.9   989.1    63.8   116.6   137.6   307.9   406.2   491.4   588.3   926.2  1377.9  1768.9  3630.3 10480.6 32898.8  56120.8    56208
read      363.5   751.3    68.9   108.8   123.2   265.5   358.4   425.8   485.9   555.9   639.2   783.2  1363.3  6789.9 31588.9  17364.1    17446
read      768.0  2102.3    68.9   213.9   262.8   368.9   461.1   574.5   627.9   680.7   772.0  1657.6 12038.5 31240.5 38754.2  86985.4    86943
read      558.2   962.6    63.8   113.6   133.6   305.0   407.5   502.7   638.8  1013.0  1356.0  1738.2  3852.6  8432.5 31938.7  49171.4    49138
read      503.9   841.1    63.8   112.0   130.2   292.4   389.4   467.6   558.8   828.9  1213.2  1597.1  2973.4  8373.8 31751.8  49801.5    49839
read      494.2   752.6    63.8   114.0   132.8   306.0   401.2   484.1   582.0   889.7  1241.6  1540.2  2247.6  8617.7 30545.4  47640.4    47752
read      433.6   724.7    63.8   112.1   128.9   286.2   391.8   490.4   613.7   773.6   914.3  1076.8  1958.5 10380.4 31246.0  27203.1    27181
read      314.6   754.9    80.4   126.6   151.1   245.3   294.5   324.8   347.2   375.2   412.6   472.0  1481.8 10626.1 31645.2   6108.2     6170
read      420.4  1258.7    80.4   128.8   151.5   267.4   332.9   376.7   413.6   464.2   550.3   827.9  2845.0 24327.4 36486.7   7189.9     7187
read      691.3  1528.5    74.4   266.3   299.0   405.2   501.2   617.5   677.2   741.3   852.9  1603.8  8238.2 22260.1 36932.0  99174.8    99387
read      706.7  1616.4    68.9   220.3   272.6   388.0   487.8   610.2   669.7   737.2   933.9  1753.7  8205.3 27912.0 37235.6  91941.0    91970
read      774.2  1992.0    68.9   196.0   255.1   375.2   476.0   605.7   664.8   731.2  1228.6  1814.4 11260.0 30983.4 39076.4  79596.9    79658
read      517.1   833.1    63.8   116.0   137.4   311.5   405.3   478.2   547.5   713.3  1296.5  1815.2  2685.5  8461.6 31273.0  59184.1    59230
read      773.8  2012.0    63.8   171.7   223.8   368.5   460.6   574.2   642.3   712.0   964.0  1898.7 10654.5 30788.9 39390.4  78188.6    78081
read      527.2   909.6    68.9   118.8   141.7   310.4   404.8   485.1   566.3   754.6  1306.6  1782.8  2716.1  9833.6 32053.9  64180.9    64242
read      406.8   552.0    63.8   108.4   123.3   267.5   360.6   427.8   493.9   618.7   870.4  1175.8  2540.4  5417.1 13228.0  37697.9    37702
read      435.9   695.0    63.8   108.9   124.7   271.7   365.7   434.0   504.1   655.3   959.6  1300.3  2716.5  6745.4 30426.3  40736.3    40686
read      384.3   591.1    63.8   107.6   122.2   261.1   354.0   421.9   489.8   607.5   789.0  1011.4  1874.3  6232.6 30180.8  30344.6    30376
read      421.8   733.9    68.9   108.6   123.5   266.6   359.0   426.3   493.7   630.6   906.4  1215.4  2605.3  7359.8 31465.2  38461.6    38416
read      582.3   975.2    63.8   124.1   150.6   333.3   434.2   525.6   630.2   932.2  1481.6  1936.2  2979.8 10021.5 32058.0  65834.2    65892
read      446.8   741.4    68.9   110.0   125.5   274.5   370.7   443.0   518.5   701.5   993.4  1313.2  2713.7  7813.3 30863.3  39440.6    39560
read      342.3   788.5    74.4   116.5   135.9   266.4   336.3   384.1   420.2   463.3   518.5   609.1  1098.7  7683.6 32522.1  10004.5    10016
read      498.7   716.6    68.9   114.8   135.5   311.5   408.5   484.7   560.0   749.4  1288.2  1735.6  2444.9  6570.2 28248.9  55221.5    55224
read      366.1   597.2    68.9   108.2   122.6   267.2   365.9   441.3   511.7   597.7   699.8   860.3  1235.7  5078.7 31168.1  20006.0    19982
read      496.0   653.7    63.8   112.8   132.9   317.1   415.5   494.1   575.6   822.1  1316.2  1631.2  2123.2  6525.9 22552.2  48058.6    48114
read      367.5   527.5    63.8   107.0   122.7   271.1   353.4   407.0   454.8   518.0   652.2  1021.3  1577.8  6013.4 20410.9  36167.8    36283
read      308.5   326.6    68.9   105.6   119.5   247.7   326.0   373.8   413.9   467.6   556.2   692.7  1076.1  2987.8 10676.6  23351.8    23315
read      303.6   431.3    68.9   113.6   130.7   254.7   321.4   366.6   402.1   447.9   503.6   588.3   787.6  4685.9 13549.7  11159.6    11150
read      690.8  1300.3    68.9   254.7   298.7   410.0   515.1   648.1   714.5   798.6  1233.4  1754.0  6106.5 12913.3 36526.2  98678.6    98724
read      570.4  1229.2    63.8   116.2   139.4   320.6   406.8   479.9   555.9   694.0  1265.6  1787.9  4778.6 15023.4 35797.7  56856.2    56880
read      288.0   353.8    68.9   109.8   124.3   246.7   312.1   350.8   383.3   426.0   483.0   574.0   760.7  3477.7 12181.4  13535.2    13467
read      680.6  1695.5    68.9   236.8   284.3   394.9   473.3   587.5   649.9   710.1   795.8  1402.7  8437.5 28890.6 37761.1  99099.6    99368
read      344.7   682.1    68.9   106.5   121.5   255.8   336.9   387.9   427.5   477.9   552.7   792.6  1550.6  6028.9 31969.3  46118.6    46206
read      629.4  1180.5    63.8   134.2   165.9   349.3   456.9   561.3   662.1   968.0  1474.0  1890.6  3894.0 16520.4 33713.3  71602.2    71651
read      349.0   603.5    63.8   106.8   121.6   257.1   343.1   401.1   454.1   546.9   683.3   838.2  1157.0  5183.6 30911.1  22747.6    22741
read      495.9   924.8    63.8   113.9   134.0   300.9   392.4   459.8   524.8   636.4  1067.7  1625.9  2776.7  9163.9 32203.9  56762.8    56654
read      727.0   971.0    68.9   286.7   315.3   431.9   613.9   733.6   854.3  1416.7  1632.2  1883.4  3003.0  9892.6 31838.6  99376.9    99570
read      351.6   736.6    63.8   108.2   123.8   264.8   346.3   400.2   447.1   516.6   631.1   794.3  1211.8  7789.2 31998.8  23138.5    23047
