Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622180933483
Timestamp end: 1622182733895

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      256.0   324.1    80.4   130.2   146.2   224.1   253.2   270.1   283.1   298.5   323.3   378.6  1044.6  4426.3  9491.9   5009.4     5031
read      435.5   526.9    63.8   113.3   133.0   306.6   393.5   450.1   501.4   582.5   851.0  1496.2  2067.9  4466.7 13111.1  54676.7    54838
read      705.1  1209.5    68.9   155.7   197.0   359.8   493.1   623.3   764.9  1421.7  1650.5  2023.1  5182.9 12059.0 32505.5  74908.1    74868
read      516.1   848.2    68.9   112.9   132.5   318.3   444.6   623.4   828.9   970.8  1090.8  1245.2  2635.0 10447.9 32123.3  29987.0    30015
read      360.8   420.0    68.9   106.1   121.6   269.2   351.4   403.7   450.7   517.4   647.7   994.7  1569.9  4814.6 12456.8  40797.8    40743
read      361.8   393.7    74.4   114.7   130.5   279.6   368.2   431.5   489.2   573.2   689.1   844.9  1266.9  4495.1 12069.3  23733.1    23648
read      833.1  2111.8    74.4   312.4   336.6   466.1   569.0   647.3   706.6   772.2   864.5  1080.0 12467.1 30679.1 39011.9  97671.6    97712
read      595.5  1986.7    59.1   115.2   140.7   317.1   373.8   430.2   487.5   559.6   638.5   838.2 11011.5 31144.0 37797.9  53661.0    53672
read      490.6   889.0    63.8   115.5   135.3   300.4   391.9   456.7   518.1   626.0   983.7  1656.9  2909.2  8920.5 31720.8  55348.4    55395
read      363.0   387.2    68.9   105.3   120.2   255.3   341.9   411.4   478.1   625.5   802.5   990.9  1392.1  3592.4  9177.4  29348.4    29425
read      318.8   331.5    68.9   108.4   124.3   255.3   333.1   387.8   436.3   498.2   579.9   696.4   982.9  3815.2 11250.3  15200.6    15173
read      686.3  1335.7    63.8   163.4   219.8   402.4   527.2   653.9   748.9   875.1  1426.5  1763.7  5864.4 16815.7 36145.5  82520.5    82475
read      917.0  2717.4    68.9   275.0   292.9   358.1   461.2   604.1   637.3   673.9   742.3  1745.3 12733.7 32159.0 41742.8  90641.0    90555
read      603.4  1934.4    63.8   110.1   129.9   300.0   371.6   443.5   512.3   618.8  1171.6  1573.1  7232.6 31661.3 40501.0  47886.3    47944
read      448.7   676.2    68.9   109.0   126.2   289.0   407.1   552.8   751.9   870.2   970.8  1094.2  1460.6  8001.6 30926.3  28255.3    28313
read      399.4   727.6    68.9   106.0   120.5   263.8   357.6   438.9   531.5   693.5   848.5  1031.5  1614.0  6058.5 31764.7  28501.6    28504
read      369.1   703.7    68.9   105.3   119.1   253.0   344.3   415.3   482.7   586.4   704.9   876.1  1399.1  9077.8 30921.3  22964.0    22886
read      401.4   753.9    68.9   105.4   119.6   254.2   342.2   407.8   476.9   619.0   854.3  1125.9  2602.9  5885.0 32181.1  35690.8    35717
read      330.9   404.6    68.9   107.2   121.9   260.7   345.1   408.3   459.0   516.7   593.4   721.2   984.4  4789.7 12145.8  14828.9    14828
read      700.4  1773.1    68.9   155.3   198.4   345.5   435.5   539.4   606.0   677.6  1300.4  1823.5  8530.6 30287.4 37837.7  81699.4    81704
read      526.5  1015.0    63.8   112.9   132.3   295.7   385.6   460.4   541.4   773.9  1289.6  1678.5  3761.9 10798.4 32356.8  55754.9    55771
read      712.8  1844.0    63.8   169.8   223.4   358.9   444.9   555.2   618.1   680.0   804.1  1765.7  9065.2 30138.1 38342.6  85242.7    85226
read      564.6  1029.8    63.8   128.8   156.3   317.8   405.2   486.4   565.3   704.0  1349.7  1957.1  3458.6 10968.0 32150.6  74968.5    75020
read      329.2   707.8    74.4   109.6   123.8   257.3   329.8   380.6   421.3   468.0   529.9   638.9   965.4  9072.0 31751.2  12379.8    12441
read      536.4   988.4    68.9   112.0   131.5   297.6   389.9   463.9   545.3   786.4  1311.7  1749.0  3868.3 10237.4 32435.2  56104.5    56208
read      330.3   359.2    68.9   107.6   121.7   258.3   340.5   401.1   455.3   520.6   598.8   754.7  1086.6  3627.2 12397.9  17413.3    17446
read      685.4  1556.0    63.8   172.4   223.7   368.2   452.2   559.7   631.0   705.8   876.9  1817.0  8201.9 24333.2 37377.0  86859.9    86943
read      555.8  1112.0    68.9   110.8   129.4   297.0   394.8   472.6   566.1   856.3  1294.5  1760.0  4121.2 11136.1 36328.5  49174.4    49138
