Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622184883841
Timestamp end: 1622186684228

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      371.6  1213.3    80.4   124.4   150.5   249.6   301.7   334.6   359.3   390.3   432.6   515.9  3738.1 16496.8 52410.9   6225.9     6170
read      300.7   579.8    74.4   122.4   146.4   248.1   302.7   335.8   361.2   392.1   431.6   501.0   738.9  6235.8 23613.0   7165.6     7187
read      732.9  2450.6    68.9   273.1   310.6   420.9   484.3   583.2   675.1   747.6   820.3   942.1  8519.1 47379.5 74558.1  99135.9    99387
read      747.7  2462.2    68.9   219.4   278.6   412.7   478.2   570.1   659.8   738.2   827.5  1389.4  8537.6 42760.0 70075.6  92098.3    91970
read      767.5  1828.9    68.9   179.0   238.9   390.7   490.5   625.8   707.6   836.2  1506.6  1894.2  8496.7 31036.2 38570.2  79600.5    79658
read      508.4   889.6    68.9   114.4   134.7   305.2   393.9   460.1   528.1   665.1  1262.9  1781.9  2549.7  9442.4 32025.0  59101.7    59230
read      825.0  2224.2    68.9   187.7   243.9   387.7   476.8   587.8   662.7   740.4   956.9  1938.8 10905.4 31717.0 39032.6  78132.2    78081
read      543.6  1006.1    68.9   119.9   144.0   319.7   407.6   479.1   554.1   711.3  1253.2  1858.1  3114.0 11822.3 32274.5  64296.3    64242
read      475.9   913.9    63.8   110.2   127.1   285.8   381.9   465.9   557.3   773.1  1044.1  1367.0  3238.7  8944.8 32366.0  37714.8    37702
read      521.9  1040.0    68.9   111.4   129.0   298.8   395.7   486.7   602.3   911.7  1195.7  1493.5  3512.2  9984.8 34913.8  40489.6    40686
read      400.5   749.5    63.8   106.5   121.2   260.3   352.9   432.5   506.5   627.8   802.0  1061.0  2305.5  6892.7 31555.0  30311.5    30376
read      477.4   956.5    68.9   109.7   126.2   282.3   379.1   464.4   561.7   790.2  1056.6  1378.4  3092.7  8030.5 32412.4  38405.9    38416
read      554.6  1037.6    68.9   121.7   146.5   322.8   410.9   483.6   561.9   730.1  1341.0  1870.8  3084.3 12915.4 32230.8  65808.5    65892
read      455.8   848.1    68.9   108.7   124.6   277.5   368.8   443.3   521.6   693.3  1000.2  1337.9  2693.3  8880.4 32173.4  39464.4    39560
read      345.1   783.4    74.4   115.3   135.3   258.9   334.0   382.7   419.1   462.7   525.2   623.5  1629.6  9429.2 32033.6  10109.8    10016
read      495.1   819.5    68.9   113.3   132.9   300.4   391.2   459.3   531.8   704.8  1226.4  1671.5  2522.9  8271.0 31428.1  55217.8    55224
read      442.4   838.0    68.9   111.2   130.6   295.0   438.3   598.8   680.9   756.7   830.2   926.7  1431.4 11307.3 31865.6  20028.1    19982
read      381.0   482.2    63.8   108.6   124.8   272.9   360.0   415.0   463.9   535.1   673.6  1112.9  1883.2  4730.5 12237.5  48090.0    48114
read      351.3   418.3    63.8   106.3   121.4   256.0   340.1   395.7   445.0   514.2   657.2   946.9  1612.9  4373.0 10975.4  36238.6    36283
read      291.8   241.0    68.9   105.7   120.6   243.5   317.6   366.7   404.7   452.0   520.1   630.8   869.4  1474.3  7455.9  23287.9    23315
read      284.2   294.6    68.9   113.5   131.1   248.6   308.5   344.0   371.0   406.0   455.5   540.0   728.5  3325.7 10588.1  11182.9    11150
read      650.1  1095.9    68.9   270.3   317.0   424.3   491.1   625.4   721.8   793.1   883.9  1585.1  5125.3  9480.3 32427.1  98714.4    98724
read      490.0   816.8    68.9   112.1   131.5   305.2   399.1   462.9   526.3   634.0  1071.7  1720.2  2548.3  8755.7 31482.2  56870.5    56880
read      289.1   217.5    68.9   111.3   128.9   258.4   320.9   362.0   393.1   430.1   473.4   542.0   729.0  2140.7  8098.2  13407.6    13467
read      643.2  1246.0    68.9   242.3   299.9   422.1   481.2   590.3   694.8   774.2   853.5  1497.5  5283.3 16406.8 35519.3  99366.5    99368
read      362.9   451.3    68.9   107.5   123.1   269.3   355.5   410.7   460.0   530.4   636.1   944.7  1850.7  4679.2 12653.3  46214.4    46206
read      642.0   889.9    68.9   138.4   174.4   367.0   478.4   615.3   769.0  1341.0  1615.9  2010.4  3042.2  9740.2 30573.7  71719.9    71651
read      333.6   294.1    68.9   107.3   123.0   265.2   346.2   404.9   454.7   525.3   637.1   800.4  1150.4  2338.6 10609.1  22829.5    22741
read      500.9   879.9    63.8   113.5   133.6   305.9   396.3   463.2   531.0   658.3  1131.5  1673.7  2638.2 10272.7 31538.1  56745.8    56654
read      651.8  1168.7    68.9   276.8   319.4   426.0   495.0   625.7   717.0   787.0   871.3  1542.9  5320.6 12625.4 33602.3  99542.1    99570
read      327.1   361.3    63.8   109.8   126.5   266.7   342.4   393.6   432.2   481.2   559.4   702.7  1158.1  3440.4  8788.5  23062.2    23047
read      547.6   796.1    63.8   124.1   150.1   330.6   426.2   509.5   598.5   795.7  1403.5  1891.6  2735.2  8424.4 29573.3  69885.5    70008
read      354.0   395.9    63.8   106.3   121.5   258.4   341.7   397.6   449.0   523.8   660.2   984.6  1622.1  3914.0 10996.3  42875.3    42943
read      379.9   530.7    63.8   106.7   122.5   263.2   348.4   405.4   459.2   539.2   714.3  1099.1  2222.6  5134.8 19332.7  46596.4    46704
read      654.6  1018.9    63.8   141.7   182.0   365.3   488.4   622.3   747.4  1394.7  1596.1  1897.2  3192.7 12242.6 31988.6  76018.5    75970
read      354.7   325.2    68.9   107.4   121.9   267.5   369.2   448.5   516.6   604.0   714.0   902.4  1213.5  2350.7 10271.7  21908.6    21917
read      583.8  1117.9    68.9   134.9   167.7   357.3   433.3   506.9   586.9   684.7   861.9  1883.8  4601.7 12295.1 32436.2  82000.4    82027
read      714.6  1419.3    68.9   168.8   227.2   381.6   494.7   635.0   715.0   969.2  1565.0  1909.2  5512.3 17338.3 36568.6  81670.8    81583
read      342.1   503.4    68.9   109.0   123.9   269.6   370.3   438.7   486.8   546.7   628.1   742.7   932.6  5191.9 30842.4  14263.9    14259
read      302.1   529.2    68.9   119.2   135.6   254.9   322.0   361.6   390.6   425.5   469.1   535.5   693.9  4901.1 32602.3   7819.9     7821
read      343.7   374.3    68.9   110.8   126.5   266.7   363.3   431.6   485.6   554.9   652.2   810.6  1047.1  4048.2 16558.6  17670.6    17727
read      516.3   978.4    68.9   115.8   138.4   308.6   395.2   463.8   534.3   652.2  1091.4  1692.5  3213.1 12061.1 32055.7  65724.0    65559
read      358.5   411.8    63.8   106.2   121.3   253.2   338.5   397.5   455.9   544.0   717.3  1010.9  1673.3  3715.3 12386.5  41064.6    41133
read      339.6   372.2    63.8   105.5   119.4   249.0   337.3   404.7   465.9   549.6   682.7   861.8  1329.5  3561.1 12148.4  28615.2    28693
read      445.6   729.0    63.8   110.1   128.0   283.4   373.1   435.4   496.3   599.1   943.1  1488.5  2455.7  6722.3 30419.6  53195.6    53141
read      473.9   843.9    63.8   111.3   129.8   290.6   380.5   443.9   507.5   630.9  1065.4  1602.5  2536.9  8710.2 31589.2  54599.9    54512
read      326.2   331.6    68.9   108.1   122.6   260.3   354.4   419.5   468.1   527.6   610.6   735.7   932.6  3208.3  9774.8  14888.8    14835
read      653.7  1319.6    68.9   257.0   296.8   410.5   479.0   580.8   665.9   736.8   813.3  1420.9  6153.2 15583.9 35947.8  98516.8    98446
read      341.3   506.4    63.8   104.7   118.9   245.7   330.5   386.0   439.6   518.5   641.1   887.3  1553.0  4216.5 29804.3  38253.8    38117
read      588.4  1244.7    63.8   127.9   157.6   344.4   425.4   501.1   582.6   683.4  1063.9  1833.2  4514.6 13553.4 35725.0  78018.7    77994
read      342.3   392.0    63.8   105.8   120.1   252.5   338.0   400.6   458.9   535.9   671.1   867.8  1424.4  3362.5 11445.5  30159.5    30209
read      559.0  1193.6    68.9   121.0   145.6   320.6   411.1   485.4   557.0   678.4  1174.9  1855.0  3715.5 14900.4 36638.1  68332.5    68315
read      691.0  1435.2    68.9   227.2   283.8   406.1   492.8   625.5   702.1   785.7   959.7  1752.8  5693.2 22677.0 36613.9  91880.1    91940
read      386.2   563.8    63.8   108.4   124.6   264.8   351.9   409.9   464.0   543.1   712.7  1118.5  2206.3  5140.8 28070.6  49329.8    49308
read      393.3   657.8    63.8   108.2   124.0   262.2   348.9   407.1   462.2   544.1   722.2  1125.6  2396.0  5866.5 31152.5  46870.9    46880
read      691.5  1624.8    68.9   214.7   274.1   400.0   477.7   598.1   671.4   743.0   847.2  1666.6  6992.1 29378.7 37450.9  92528.4    92540
read      402.0   700.3    68.9   108.5   124.7   264.7   351.4   409.8   464.8   548.3   744.3  1183.9  2336.4  6751.7 31282.3  49476.7    49396
read      634.7  1244.3    63.8   214.6   277.8   410.1   482.3   593.2   683.3   759.9   851.2  1557.7  4782.3 17273.6 36058.2  97839.3    97841
read      342.9   473.5    63.8   105.9   120.4   252.2   336.6   395.6   449.6   524.8   661.1   887.9  1432.4  3379.9 28478.0  35273.8    35404
read      690.8  1304.5    68.9   155.3   204.8   384.6   498.1   629.0   723.3   981.2  1560.3  1943.4  4710.9 16215.7 35886.0  80612.6    80451
read      718.6  1683.9    63.8   197.7   259.0   397.8   489.1   603.9   678.0   766.2   964.6  1789.5  7468.9 30240.0 37743.4  87258.1    87228
read      673.8  1077.1    63.8   146.0   187.4   374.6   514.0   648.5   805.2  1401.5  1606.9  1953.4  3004.2 12360.0 32452.4  75647.6    75554
read      452.3   738.8    63.8   111.2   129.5   284.9   375.0   436.9   495.0   586.8   881.3  1575.3  2515.6  7277.2 30769.7  58239.2    57964
read      748.1  1762.7    68.9   184.7   244.9   391.3   501.8   627.4   699.5   812.9  1459.1  1881.1  8182.5 30646.9 37473.5  83559.8    83546
read      468.3   837.0    63.8   111.5   130.3   290.2   381.0   446.1   507.4   611.6   986.4  1588.0  2525.1  8863.1 31720.1  55385.7    55468
read      348.6   360.1    63.8   106.3   120.8   254.4   341.2   403.6   463.8   544.8   697.2   936.1  1468.5  3249.5 10463.1  34231.7    34203
read      352.2   555.6    63.8   106.2   121.0   255.2   340.6   399.2   454.0   528.9   661.8   925.1  1509.7  4676.0 30660.7  37602.5    37629
read      336.2   404.7    63.8   105.7   119.8   250.9   335.7   395.2   450.5   523.1   655.1   870.8  1367.4  2530.7 13835.0  34545.5    34577
read      347.1   588.7    63.8   106.3   121.2   248.4   332.0   385.1   432.0   499.6   604.6   909.3  1750.7  4774.3 31156.4  47446.3    47426
read      493.5   851.6    63.8   112.3   132.6   299.5   391.3   459.8   527.1   656.1  1115.1  1723.8  2554.1  8256.4 31824.1  58838.0    58845
read      557.5  1116.0    68.9   119.3   142.8   320.3   404.4   483.5   569.4   726.7  1374.9  1846.6  2978.9 14332.4 32333.3  67076.0    66993
read      325.2   481.6    68.9   113.3   131.1   266.8   351.0   403.5   444.0   492.5   554.9   641.4   826.3  5346.3 28319.9  11023.5    10977
read      435.4   827.1    68.9   110.4   127.6   275.0   366.2   428.5   486.9   577.2   839.6  1337.1  2518.8  7420.5 32142.9  51612.3    51529
read      386.8   668.4    68.9   107.9   123.4   258.8   344.9   402.5   457.5   538.8   717.6  1112.9  2306.4  5514.2 31362.0  48286.4    48344
read      270.7   321.8    80.4   121.1   139.9   234.4   290.2   321.0   343.4   370.1   402.7   455.4   581.0  4208.7 13964.6   5958.3     5902
read      601.3  1139.5    63.8   129.8   159.0   341.4   437.1   531.3   618.1   798.8  1403.8  2044.8  3891.9 12036.6 32434.7  71484.4    71602
read      365.4   528.7    68.9   106.3   121.1   255.1   343.4   402.1   459.9   541.9   707.1  1004.1  1736.0  4758.1 28106.8  41902.9    41886
read      379.5   720.2    68.9   107.5   122.8   259.3   346.4   403.2   456.5   532.1   675.2  1045.3  2037.9  6209.9 32222.3  47397.1    47456
read      669.9  1689.9    68.9   199.7   257.2   397.7   465.4   545.3   627.7   702.8   786.1  1004.3  7701.9 30703.3 37646.5  93870.4    93939
read      319.0   302.3    63.8   106.5   121.8   256.8   338.5   394.2   438.9   501.8   591.9   734.3   984.7  2611.1  9084.9  16905.2    16890
read      377.9   444.1    63.8   107.9   125.2   290.3   372.9   425.0   468.2   528.4   635.8  1084.8  1731.5  3646.9 13292.2  45535.5    45689
read      373.1   384.1    63.8   108.2   122.4   258.1   352.7   430.2   504.7   631.5   813.1  1062.8  1573.4  3350.9  8982.5  32633.2    32790
read      397.7   594.3    63.8   109.7   124.8   262.0   353.6   417.6   480.4   582.0   837.1  1205.6  2197.7  5040.4 30427.9  44026.1    44044
read      362.2   545.6    68.9   109.9   125.5   272.5   354.8   414.6   463.5   532.1   683.8   922.3  1447.0  4139.1 29087.8  28144.4    28149
