Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622186922415
Timestamp end: 1622188722823

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      294.5   476.1    74.4   144.4   168.7   256.9   287.8   305.7   318.8   338.2   367.7   431.9  1056.8  5469.6 30118.2   4993.4     5031
read      530.5   741.5    63.8   119.8   142.0   333.6   433.9   511.0   588.3   774.0  1377.1  1860.2  2560.3  6857.7 28538.1  54776.0    54838
read      837.0  1592.6    68.9   215.2   277.0   425.4   621.5   779.7  1177.3  1539.3  1735.5  2013.3  6686.0 29839.4 37371.5  74917.4    74868
read      510.6   898.7    68.9   114.6   133.2   314.0   433.5   556.1   751.6   944.5  1091.4  1272.9  2725.0 10010.8 32026.6  30013.6    30015
read      510.3  1081.3    63.8   112.3   129.7   293.0   391.2   472.7   560.6   754.3  1083.1  1471.9  3674.4 10753.0 32319.8  40626.2    40743
read      535.5  1259.1    68.9   113.7   132.1   309.3   458.5   618.8   748.8   851.1   957.4  1118.5  3506.7 19506.4 35724.6  23657.4    23648
read      789.2  1871.5    68.9   310.9   343.5   462.6   542.1   662.6   759.0   834.9   935.4  1523.9  8702.1 31084.5 38608.5  97810.3    97712
read      623.5  1425.7    68.9   124.4   149.5   356.3   451.6   527.9   618.8   795.6  1326.3  1885.0  4814.0 29189.3 36857.6  53708.4    53672
read      548.5  1296.9    68.9   117.3   136.9   310.3   406.8   481.5   561.9   712.3  1133.5  1699.7  3320.5 21401.5 37209.3  55400.9    55395
read      371.4   565.8    68.9   108.3   123.2   260.9   353.5   425.3   490.9   579.8   728.6   950.5  1597.9  4332.3 30252.6  29458.5    29425
read      368.8   430.2    74.4   116.5   135.3   288.9   394.1   473.3   534.6   604.6   695.1   848.2  1132.0  3213.7 24619.2  15254.5    15173
read      815.4  2099.0    68.9   247.5   297.0   425.1   512.6   624.9   702.0   784.6   922.4  1857.0  9242.1 31676.6 39413.7  82408.9    82475
read      755.6  1919.2    68.9   268.1   311.7   435.0   511.9   617.2   698.3   776.0   868.5  1408.9  8690.5 31383.2 39472.4  90520.2    90555
read      469.4   784.9    63.8   119.2   137.9   300.0   396.8   465.6   534.6   651.8   974.7  1466.1  2740.8  7335.0 31749.6  48004.5    47944
read      485.7   744.5    68.9   115.2   134.4   315.5   439.1   561.2   770.9   929.2  1050.1  1191.6  1874.2  8009.2 31425.6  28311.8    28313
read      510.8   872.4    63.8   115.5   135.1   320.3   461.1   632.8   828.1   961.9  1076.8  1229.5  2059.9 11208.6 34566.7  28505.1    28504
read      488.9   835.9    68.9   115.1   134.8   317.7   476.2   660.0   767.9   854.2   945.8  1072.2  2254.1  9357.5 32058.0  22870.6    22886
read      455.8   794.8    68.9   111.3   127.7   284.4   381.6   468.0   560.9   759.3  1019.3  1304.5  2669.0  7492.7 31698.3  35683.8    35717
read      394.8   778.3    68.9   111.8   128.9   290.7   403.9   482.6   539.3   608.6   697.6   828.1  1177.7 10145.9 31732.7  14870.5    14828
read      998.5  3000.0    74.4   283.2   304.5   395.7   493.9   607.7   657.5   703.6   771.4  1031.8 12854.4 32705.7 44318.8  81644.3    81704
read      680.0  1798.1    68.9   127.3   155.0   346.3   433.4   523.0   616.2   747.7  1346.8  1872.5  7071.5 30953.7 39004.6  55679.3    55771
read      871.4  2295.2    74.4   291.3   317.0   430.1   511.8   627.6   696.2   771.3   862.3  1670.7  9141.3 31924.2 41805.0  85096.1    85226
read      785.7  2056.0    68.9   166.7   219.1   380.5   468.8   568.8   643.4   723.8   918.5  2058.1  9172.6 31374.3 37994.5  75097.3    75020
read      371.3   747.4    68.9   113.1   131.4   280.1   374.7   439.4   487.9   546.8   625.0   739.6  1183.2  8781.5 31848.5  12451.1    12441
read      542.8   949.7    68.9   117.4   138.6   311.4   402.3   478.2   557.8   799.4  1407.2  1802.2  3094.7  9855.1 31949.4  56191.1    56208
read      362.0   570.2    68.9   109.8   125.8   271.1   370.1   443.6   502.1   575.1   669.2   818.7  1150.2  5143.5 31072.7  17447.0    17446
read      852.8  2045.9    74.4   299.6   322.7   423.1   505.7   654.7   719.2   791.6   909.8  1872.8  9369.3 30970.3 41197.5  87099.5    86943
read      655.7  1576.4    68.9   120.4   143.9   328.3   425.2   517.7   624.5   877.9  1365.6  1861.4  6551.3 29033.7 37621.0  49086.6    49138
read      585.8  1182.4    63.8   116.8   137.1   308.7   410.2   500.9   614.7   938.8  1358.3  1859.6  4267.9 10198.5 36420.5  49812.1    49839
read      575.8  1428.0    63.8   114.3   132.9   290.8   382.3   455.1   532.4   704.9  1095.8  1725.6  5675.5 25095.5 35989.2  47793.5    47752
read      418.5   830.5    63.8   110.1   125.4   267.7   363.6   449.1   529.8   657.3   812.3  1045.9  2638.2 10270.3 32000.5  27217.8    27181
read      311.7   762.7    80.4   129.6   152.8   240.7   288.7   318.2   340.5   368.1   406.0   471.2  1864.0  8367.4 31827.0   6209.2     6170
read      321.1   809.7    74.4   126.7   149.7   246.6   300.5   334.9   360.5   391.9   435.7   512.4  1289.2 11901.8 32216.5   7171.2     7187
