Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622190807878
Timestamp end: 1622192608264

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      268.5   439.5    74.4   128.3   149.7   231.8   259.3   274.7   287.8   303.6   328.4   385.4  1251.7  4436.4 23886.8   5011.0     5031
read      483.3   659.7    68.9   110.5   130.8   313.1   403.1   470.8   538.7   687.4  1242.5  1684.9  2267.5  5840.9 22253.1  54734.3    54838
read      865.7  2140.5    68.9   204.9   259.5   379.1   512.9   658.2   735.1  1346.4  1624.0  1988.1 10883.2 31543.4 38282.4  74894.4    74868
read      478.8   723.6    68.9   109.0   127.0   305.4   414.2   530.2   733.6   923.8  1065.1  1231.2  2231.5  7691.8 31479.8  29907.1    30015
read      347.6   470.9    68.9   103.7   117.1   241.6   328.9   385.9   441.7   530.5   692.6   985.5  1594.3  4012.7 16431.5  40752.1    40743
read      349.9   530.7    68.9   102.4   115.3   247.3   342.9   426.1   500.1   591.3   701.5   892.8  1277.4  3834.0 30887.2  23666.7    23648
read      693.2  1392.3    68.9   245.3   301.0   428.0   506.1   610.5   703.8   800.1   971.5  1706.4  5270.8 24678.7 37163.9  97576.8    97712
read      512.8  1199.4    68.9   112.5   130.0   302.6   391.7   451.7   512.0   617.5   947.2  1696.4  3027.1 14830.0 36849.9  53648.3    53672
read      480.6  1083.4    63.8   107.4   124.9   282.7   370.8   430.5   493.8   600.1   938.3  1570.3  2757.7 12375.3 36655.2  55441.5    55395
read      343.2   451.0    63.8   103.0   116.7   252.2   336.5   400.3   462.9   546.1   692.2   891.6  1327.1  3553.9 14288.0  29392.5    29425
read      341.2   525.3    68.9   109.3   125.6   264.1   352.4   416.8   468.9   534.3   618.4   774.1  1097.4  3825.5 31077.9  15205.7    15173
