#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      251.9   253.1    80.4   146.9   169.9   235.9   260.8   273.9   284.5   295.7   313.7   343.1   453.8  4284.5 10132.2   4954.0     5000  1621773062182  1621773067488
read      284.7   283.3    74.4   132.5   155.5   267.1   308.8   331.0   346.3   368.1   397.9   453.4   615.1  4309.6 12675.7  10007.8    10000  1621773068991  1621773074296
read      306.6   353.3    68.9   125.7   149.6   282.2   338.0   369.3   392.2   419.8   457.4   526.4   742.4  3386.0 10480.4  14890.8    15000  1621773075798  1621773081081
read      328.8   228.8    68.9   120.5   143.0   299.4   364.2   402.3   432.0   469.5   523.3   627.5   946.2  1864.8  7248.7  20060.6    20000  1621773082583  1621773087849
read      336.6   319.7    68.9   119.0   141.5   309.5   371.2   410.7   440.5   477.6   524.0   595.3   994.0  2680.6 14768.1  25064.4    25000  1621773089352  1621773094617
read      334.6   240.8    68.9   116.1   136.1   299.9   367.7   407.9   439.8   480.1   533.2   632.2  1191.1  1690.1  6379.9  30036.4    30000  1621773096119  1621773101388
read      345.0   243.7    68.9   117.6   139.0   315.1   384.4   424.5   455.9   495.4   547.0   638.1  1238.8  1896.1  8205.4  34982.4    35000  1621773102891  1621773108154
read      346.2   247.7    68.9   117.9   140.1   315.0   383.5   422.0   452.4   491.3   544.2   635.7  1309.6  1730.8  7838.6  39976.4    40000  1621773109656  1621773114925
read      353.5   236.0    68.9   118.1   139.9   328.6   406.0   448.9   480.7   520.9   574.1   660.1   951.4  2078.9  7189.1  44877.0    45000  1621773116427  1621773121696
read      347.8   278.5    63.8   114.2   133.4   298.7   376.8   421.7   455.4   497.7   553.9   663.4  1615.1  2246.9  5923.9  50117.0    50000  1621773123199  1621773128459
read      346.9   281.3    63.8   115.5   135.7   313.1   388.4   429.9   461.4   499.4   547.7   631.7  1497.4  2255.4  8378.4  54975.2    55000  1621773129961  1621773135217
read      338.4   282.9    63.8   112.9   132.0   296.3   370.0   412.6   445.3   486.5   540.9   637.1  1571.6  2297.8  7312.4  60010.0    60000  1621773136719  1621773141983
read      338.8   272.1    63.8   113.4   133.0   301.1   377.6   421.6   454.6   494.7   546.0   634.8  1405.3  2321.0  7120.1  64981.5    65000  1621773143486  1621773148741
read      345.6   291.3    63.8   114.4   134.2   304.8   381.3   425.5   459.1   500.9   556.5   649.1  1524.9  2466.4 10254.0  69987.2    70000  1621773150243  1621773155500
read      336.4   247.7    63.8   113.1   132.4   301.9   377.2   423.1   457.0   497.8   550.4   642.6  1076.6  2500.1  6896.9  74941.8    75000  1621773157002  1621773162251
read      337.2   296.8    63.8   113.4   132.7   298.9   371.5   416.0   450.6   494.3   550.7   638.0  1008.0  3179.0  8370.8  79731.0    80000  1621773163753  1621773169032
read      332.1   283.7    63.8   113.5   132.4   288.5   357.0   398.2   431.7   475.5   536.0   626.7  1577.3  3122.7  6225.2  84929.0    85000  1621773170535  1621773175784
read      339.3   334.5    63.8   114.9   134.8   292.5   361.5   404.1   438.4   483.8   546.1   642.1  1423.1  3556.0  6980.6  89925.4    90000  1621773177286  1621773182562
read      333.2   340.3    63.8   115.3   135.3   284.2   350.0   393.9   431.8   482.5   548.2   645.1  1282.1  3434.2 13042.5  94812.5    95000  1621773184064  1621773189322
read      329.5   239.3    68.9   117.7   138.8   294.5   361.8   402.6   435.6   479.6   541.0   633.1   870.9  2648.9  5582.0  99883.0   100000  1621773190824  1621773196081
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 59.75%,0.51%,100.00%
