#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      288.4   690.6    80.4   139.6   163.5   241.2   280.0   302.7   318.4   336.8   360.2   394.7   493.7  7875.8 31331.8   4949.4     5000  1621774502497  1621774507817
read      326.9   233.5    74.4   126.4   150.7   292.2   372.2   420.1   453.5   489.5   531.7   592.1   725.0  2431.9 10517.1  10068.0    10000  1621774509320  1621774514624
read      362.9   247.6    74.4   119.4   139.7   303.1   420.4   505.4   558.0   609.5   666.3   743.1   893.8  1524.8  5499.6  14969.0    15000  1621774516126  1621774521396
read      383.5   371.3    74.4   118.0   137.6   284.0   419.9   544.6   617.1   681.5   747.5   843.3  1009.9  4288.4  8738.5  20067.6    20000  1621774522898  1621774528174
read      422.2   405.7    68.9   111.6   128.6   285.7   389.9   487.0   752.6   899.1  1002.4  1116.4  1307.9  1884.7  8706.7  25027.6    25000  1621774529677  1621774534969
read      427.2   377.4    68.9   112.6   129.3   281.3   373.4   464.9   689.8   955.2  1083.9  1218.8  1433.0  1849.9  5811.2  29865.6    30000  1621774536470  1621774541739
read      453.2   440.0    68.9   115.8   134.4   296.3   383.6   466.4   584.5  1015.3  1190.8  1367.4  1619.1  2190.4  8958.8  35041.6    35000  1621774543242  1621774548525
read      439.5   536.8    68.9   111.7   128.0   276.3   359.2   422.9   489.8   947.3  1254.9  1445.8  1715.0  3772.1 15791.0  39976.2    40000  1621774550027  1621774555287
read      438.2   462.9    68.9   111.6   128.7   277.6   358.9   420.3   480.8   637.9  1302.2  1539.2  1864.2  2284.7  6886.5  45062.4    45000  1621774556790  1621774562056
read      446.6   511.8    63.8   112.5   130.3   288.5   365.2   421.6   479.2   599.5  1300.0  1586.3  1966.2  3141.6 13970.3  49885.9    50000  1621774563559  1621774568828
read      434.9   497.6    68.9   110.3   126.4   280.4   355.7   406.2   455.0   533.0  1304.7  1685.8  2092.5  2558.1  9703.2  54895.4    55000  1621774570330  1621774575592
read      422.3   518.6    59.1   107.2   122.7   268.9   342.4   394.1   437.3   500.7  1071.4  1770.2  2170.7  2689.2  8805.2  59830.8    60000  1621774577095  1621774582349
read      433.6   498.4    63.8   115.2   133.1   273.2   357.7   421.2   481.4   600.1  1118.6  1616.7  2108.1  2769.2 10761.8  65037.3    65000  1621774583851  1621774589102
read      417.9   507.8    63.8   111.4   128.7   259.3   340.5   398.3   451.1   537.8   999.3  1661.6  2187.9  2890.0 10876.8  69915.6    70000  1621774590605  1621774595860
read      482.2   601.0    68.9   122.5   145.5   298.7   387.6   458.6   525.4   663.5  1073.4  1871.5  2561.5  4294.1 13537.9  75183.4    75000  1621774597362  1621774602614
read      673.2   912.4    68.9   159.0   201.8   367.5   530.8   677.1   944.3  1398.4  1674.4  2033.4  2902.4 12121.4 31027.6  78604.0    80000  1621774604116  1621774609368
read      897.7   942.0    80.4   290.8   310.7   456.2  1300.6  1493.4  1628.7  1724.6  1837.8  2018.4  2848.5 12001.7 29998.5  73358.4    85000  1621774610871  1621774616123
read      876.0  1149.8    74.4   275.1   293.0   440.9   794.7  1458.8  1573.7  1684.8  1802.3  1992.3  2881.1 12869.3 32090.9  76013.0    90000  1621774617625  1621774622877
read      861.7  1202.6    68.9   269.6   288.0   421.4   734.0  1445.6  1550.6  1670.3  1790.6  1969.4  2858.9 16459.9 36569.2  77459.6    95000  1621774624379  1621774629636
read      865.5  1143.8    74.4   271.5   290.8   423.2   748.4  1453.7  1565.4  1681.3  1798.5  1979.5  2854.8 16446.3 31758.3  76854.0   100000  1621774631138  1621774636396
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 59.59%,1.00%,100.00%
