Random waveform, random seed
Total number of intervals = 150 (62158, 81772, 67243, 37084, 98934, 76081, 89455, 76784, 22952, 5348, 59225, 88679, 60615, 79450, 87778, 10993, 35768, 22400, 35400, 5390, 16951, 41611, 83538, 97549, 62132, 19572, 95280, 37221, 23880, 8044, 59130, 15567, 46346, 52899, 78627, 21218, 29355, 65513, 25168, 92027, 73686, 14540, 85452, 71130, 91032, 86182, 82554, 88864, 32307, 93711, 65859, 52148, 86481, 67945, 58895, 55186, 46583, 40489, 42797, 69423, 93836, 75931, 37776, 43390, 66238, 49113, 6116, 61118, 79367, 17990, 15022, 7760, 40801, 52421, 30301, 7528, 35745, 7987, 57133, 77166, 79081, 63861, 6367, 89295, 50882, 8221, 87361, 34222, 77196, 7672, 86731, 94632, 68248, 23275, 11104, 98727, 98743, 93323, 12994, 38580, 58446, 7550, 28721, 46490, 93943, 77554, 36669, 63859, 77007, 67421, 81740, 98710, 19258, 48034, 24185, 98968, 69191, 93035, 11619, 95889, 99225, 17125, 19808, 72808, 86811, 14433, 80863, 75342, 11581, 30506, 38210, 25960, 17985, 25650, 28978, 8845, 37380, 40435, 76928, 76026, 18513, 68834, 75728, 38015, 78065, 90302, 69484, 72460, 22639, 53068)
Average QPS expected = 53626
Timestamp start: 1622120921311
Timestamp end: 1622122421678

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      516.2  1086.6    59.1   103.2   121.0   292.9   377.1   440.0   506.8   663.2  1305.5  1683.0  3652.8 11449.8 36372.6  52847.0    52899
read      606.1  1518.4    63.8   126.6   159.7   332.0   404.8   462.8   517.7   596.6   721.9  1812.4  5944.7 27542.6 37214.5  78644.4    78627
read      391.1   589.3    63.8    99.1   114.7   284.3   390.2   474.3   553.7   656.4   778.7   943.8  1374.6  6299.0 25751.3  21246.9    21218
read      422.0   720.9    63.8    98.2   113.5   278.9   379.1   466.3   557.3   718.8   900.8  1141.9  1844.4  7017.5 30943.1  29375.9    29355
read      528.5  1165.4    59.1   106.8   127.1   293.8   373.7   431.5   489.6   592.9  1127.5  1813.8  4502.1 13494.5 35976.4  65543.0    65513
read      417.4   729.2    63.8    98.8   114.0   281.2   390.5   476.7   557.1   671.3   826.0  1067.4  2004.5  7442.5 31352.6  25157.6    25168
read      623.6  1642.6    63.8   152.5   198.3   357.8   430.5   488.6   541.5   609.4   696.6   944.8  7847.4 29272.9 37751.9  92053.5    92027
read      562.2  1297.6    59.1   116.5   143.0   315.1   391.6   447.4   500.6   586.9   807.7  1871.7  5563.9 15403.7 35905.7  73742.1    73686
read      371.1   843.8    63.8   101.5   117.0   280.9   364.2   420.4   465.2   523.7   602.7   744.3  1617.8 14054.9 31783.3  14611.4    14540
read      611.9  1557.9    63.8   133.7   172.0   342.5   413.1   468.4   522.4   598.3   701.6  1670.2  6712.1 28719.4 36949.3  85283.7    85452
read      536.6  1194.7    59.1   111.4   134.6   304.3   383.5   438.3   490.7   580.6   903.9  1849.3  4747.8 14536.8 36173.7  71042.7    71130
read      635.6  1626.8    63.8   159.1   208.8   368.1   438.9   496.2   552.5   626.5   719.6   994.7  8063.5 30304.9 36944.7  91165.3    91032
read      642.8  1697.1    59.1   146.5   192.1   360.8   431.6   487.7   542.6   618.7   716.2  1258.2  8154.0 30345.6 37310.2  86196.4    86182
read      609.8  1527.9    59.1   130.6   167.4   344.1   415.6   470.0   525.7   603.8   714.6  1771.0  6249.2 28858.7 36349.2  82395.2    82554
read      531.9  1244.7    59.1   125.1   159.1   341.8   411.0   462.0   507.6   578.6   677.1   965.9  5657.8 12790.2 36268.8  88944.3    88864
read      469.4   970.9    59.1   100.6   116.3   276.7   369.4   436.1   503.5   628.4   901.4  1668.8  3267.1  9217.0 32122.2  32351.5    32307
read      494.3  1165.8    59.1   122.3   155.4   339.3   406.0   452.7   493.8   554.5   646.3   808.1  5642.1 12005.7 36123.8  93793.6    93711
