Random waveform, random seed
Total number of intervals = 150 (81233, 34344, 35469, 33202, 20386, 11084, 36654, 88997, 86140, 32102, 56444, 97768, 53063, 85005, 54011, 45186, 26557, 74546, 36736, 45623, 67596, 71323, 15602, 64032, 29736, 15619, 71621, 81002, 47923, 48042, 58189, 60536, 74609, 50263, 41288, 70483, 53925, 26775, 20016, 56240, 78399, 95857, 30828, 24857, 98458, 45873, 80490, 90706, 9995, 75933, 59521, 26538, 35613, 70309, 80017, 9949, 62247, 55863, 17244, 16666, 90037, 83944, 85551, 13359, 81871, 15792, 34687, 89845, 78198, 44977, 42214, 57751, 14963, 66676, 6675, 37272, 30950, 89381, 77344, 29928, 99855, 69036, 52697, 13194, 71640, 18264, 61914, 59923, 47838, 38847, 90683, 16385, 18264, 67235, 99441, 35230, 91954, 92120, 25020, 84608, 32538, 73255, 91953, 65768, 41100, 45825, 30702, 91908, 79362, 36483, 74881, 51153, 82866, 25678, 18973, 13413, 49213, 76442, 72933, 6171, 34990, 48178, 53418, 65002, 81322, 13658, 73009, 48105, 64552, 33869, 29835, 67506, 82903, 78454, 58783, 72199, 11801, 22087, 87729, 45821, 64100, 38379, 14857, 88101, 34080, 64132, 94108, 88750, 9121, 15324)
Average QPS expected = 53300
Timestamp start: 1622123692301
Timestamp end: 1622125192669

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      342.3   355.3    59.1   105.7   124.2   281.3   350.3   394.5   431.6   481.0   546.1   664.9  2144.0  3232.2  7630.3  81503.0    81233
read      499.0  1068.2    63.8   103.8   121.9   305.4   400.4   482.9   575.1   820.6  1064.3  1281.8  2971.8 15745.2 32457.3  34360.3    34344
read      490.7   809.1    59.1   101.4   118.2   296.7   400.2   515.8   790.8   998.6  1136.5  1297.5  2556.2  8877.4 31901.4  35511.1    35469
read      477.5   793.6    59.1   100.2   116.5   289.3   397.8   529.9   769.6   940.5  1078.1  1240.9  2546.6  8526.5 31611.9  33177.3    33202
read      392.2   466.1    59.1    99.0   115.5   286.7   409.0   540.5   632.5   712.9   794.8   906.4  1150.8  3976.5 14395.9  20398.3    20386
read      418.8  1072.7    63.8   107.9   129.0   297.3   387.7   452.5   501.0   554.0   619.8   728.5  2699.5 14722.2 36710.7  11105.9    11084
read      409.3   842.6    59.1   100.9   116.2   268.1   354.6   412.6   461.6   531.5   679.1  1028.4  2898.0  9371.4 31838.8  36621.0    36654
read      648.3  1837.5    59.1   143.1   186.4   334.4   393.3   452.9   518.9   591.8   666.9   988.7  9476.9 30376.7 37371.3  88948.5    88997
read      652.9  1838.6    63.8   135.2   174.7   332.8   393.4   451.6   514.5   591.7   673.0  2190.6  8702.2 30712.8 37566.8  86163.3    86140
read      384.9   588.7    59.1   100.3   116.0   271.0   361.2   422.9   475.9   567.0   760.8  1022.4  2310.9  6795.7 27329.2  32075.0    32102
read      466.8  1046.9    59.1    98.1   114.1   268.9   349.9   405.9   457.7   534.7   773.1  1650.1  3151.3 12085.2 32488.9  56402.9    56444
read      571.4  1447.9    63.8   144.7   192.8   350.2   405.2   457.3   518.9   600.4   677.9   802.2  8213.0 17240.5 36466.2  98023.3    97768
