#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      852.5  1513.1    68.9   280.2   300.9   434.9   649.8   864.7  1425.2  1566.0  1730.5  1966.1  3991.1 20167.7 35832.2  78906.0    90000  1622031679657  1622031689981
read      374.4   370.8    68.9   121.6   144.3   323.8   406.6   457.9   497.7   547.6   618.2   736.9  1258.7  4108.6 10273.6  89899.5    90010  1622031691483  1622031701797
read      372.0   377.0    68.9   120.7   143.3   324.5   403.5   450.6   486.3   532.5   599.0   719.6  1440.1  4042.8 12493.6  90066.3    90020  1622031703299  1622031713548
read      377.9   434.8    68.9   121.6   144.1   322.8   398.3   444.2   481.1   532.9   608.4   728.7  1714.1  4905.1 14583.0  90023.7    90030  1622031715049  1622031725320
read      390.8   507.5    68.9   124.5   149.0   332.4   409.7   456.4   493.1   541.1   610.6   726.4  1904.9  6249.0 18981.4  89985.0    90040  1622031726822  1622031737113
read      507.6   957.3    74.4   143.7   181.0   399.9   478.5   530.5   575.3   638.3   741.6   923.1  2695.9 11808.2 32309.3  90006.1    90050  1622031738615  1622031748883
read      430.0   739.5    68.9   127.9   154.0   338.8   413.0   460.7   502.1   561.8   646.8   791.6  2654.0  9858.2 31502.5  90041.6    90060  1622031750386  1622031760642
read      430.4   681.9    68.9   128.9   157.8   355.5   432.3   478.9   517.8   573.3   652.9   790.7  2324.0  8849.8 31251.1  90070.4    90070  1622031762144  1622031772413
read      413.1   674.9    68.9   124.6   150.2   332.3   408.3   458.8   499.6   553.0   629.9   757.9  2477.7  8573.1 31216.3  90002.5    90080  1622031773915  1622031784170
read      448.2   718.2    68.9   137.5   168.1   372.8   452.6   500.7   541.8   599.1   685.2   838.9  1998.3  9052.1 31331.1  89960.5    90090  1622031785672  1622031795929
read      407.4   684.4    68.9   123.0   147.2   323.4   395.9   443.3   485.3   543.0   621.0   744.9  2611.8  8619.0 30789.1  89819.2    90100  1622031797431  1622031807681
read      424.1   695.1    68.9   126.7   153.5   343.3   420.4   468.1   508.5   564.5   641.7   781.0  2376.9  8357.0 31144.4  90145.5    90110  1622031809183  1622031819438
read      442.8   631.8    68.9   136.0   165.9   370.1   451.5   499.4   539.3   594.3   681.6   844.8  2005.9  8046.3 29583.5  90241.7    90120  1622031820940  1622031831196
read      387.1   519.2    68.9   123.4   147.6   326.2   402.0   449.4   486.8   536.4   607.6   719.7  1734.9  5373.4 21696.1  90143.6    90130  1622031832698  1622031842953
read      403.2   607.2    63.8   122.1   146.4   327.8   400.9   448.5   489.5   546.2   626.8   756.2  2164.1  6959.0 30440.8  90183.3    90140  1622031844455  1622031854727
