#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      281.8   583.2    86.8   144.8   172.5   252.5   286.9   307.5   322.0   339.5   361.7   399.3   502.2  4592.4 31667.5   4978.2     5000  1621777381910  1621777387256
read      345.5   406.3    74.4   139.8   176.9   310.2   376.1   414.6   442.3   474.8   512.2   571.2   710.3  6078.5 12917.2   9997.4    10000  1621777388759  1621777394055
read      379.6   302.1    80.4   134.9   173.2   352.0   435.6   485.0   517.4   553.1   598.5   667.7   814.5  2536.4 12071.0  15064.2    15000  1621777395557  1621777400817
read      396.8   281.3    74.4   130.9   167.2   374.3   464.4   511.0   546.9   588.7   638.1   707.8   863.4  2758.9  9808.0  19859.4    20000  1621777402320  1621777407574
read      415.0   272.7    68.9   128.8   164.8   390.9   489.7   541.8   580.2   624.9   681.6   763.5   940.5  1377.0 10021.2  25051.6    25000  1621777409076  1621777414340
read      440.3   346.0    68.9   132.1   168.1   417.4   522.7   574.7   612.0   656.4   714.1   797.3   989.5  2207.9 14922.5  30043.6    30000  1621777415842  1621777421107
read      455.1   315.3    68.9   132.9   171.5   427.3   537.7   593.5   632.9   680.6   742.3   840.1  1074.6  2842.3  9554.5  35036.6    35000  1621777422609  1621777427872
read      438.0   315.2    68.9   130.7   166.7   404.0   500.9   558.1   604.8   664.0   741.2   858.3  1083.3  2288.2 13260.7  39992.6    40000  1621777429374  1621777434632
read      457.6   343.5    68.9   132.9   171.3   433.2   539.8   593.6   633.9   682.7   746.5   851.0  1085.8  1444.4 14672.2  45039.4    45000  1621777436134  1621777441393
read      450.7   283.4    63.8   130.0   165.7   426.0   531.8   587.7   627.9   676.4   739.9   850.7  1111.7  1489.2 11963.2  49889.2    50000  1621777442895  1621777448161
read      452.9   314.4    63.8   129.8   165.9   426.2   527.5   583.2   624.1   672.8   740.8   865.0  1150.6  2132.3 12058.0  55173.2    55000  1621777449662  1621777454924
