#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      400.3   320.8    68.9   124.0   150.0   354.0   432.6   480.1   518.4   567.0   635.0   825.1  1406.6  2356.2 12126.7  30021.9    30000  1622072890159  1622072900476
read      399.1   324.0    68.9   125.4   150.4   354.1   433.3   482.3   521.2   572.1   641.8   822.2  1355.3  2543.9  9960.0  30015.5    30010  1622072901978  1622072912285
read      404.2   376.3    68.9   126.0   151.9   360.0   444.4   495.7   536.1   585.8   653.5   786.1  1328.5  3937.2 13743.8  29993.4    30020  1622072913788  1622072924071
read      426.9   520.4    68.9   125.4   150.0   358.5   442.5   495.9   541.0   599.0   692.3   983.3  1501.6  5577.3 20533.2  29977.2    30030  1622072925573  1622072935839
read      424.0   487.6    68.9   122.7   146.4   357.7   441.0   494.3   537.7   591.9   681.1   990.8  1547.2  4934.2 16262.5  30064.1    30040  1622072937342  1622072947624
read      391.3   450.8    74.4   110.7   129.9   316.5   412.6   470.2   516.5   575.9   661.5   874.7  1579.6  4770.2 12749.3  30044.2    30050  1622072949126  1622072959390
read      382.6   417.2    68.9   110.1   128.9   309.0   401.1   458.5   503.6   564.3   657.4   889.6  1516.7  3761.5 12704.7  29985.7    30060  1622072960892  1622072971152
read      373.3   402.4    68.9   109.1   127.3   305.1   397.0   454.9   501.7   563.9   660.0   882.6  1302.7  3798.6 10241.9  30130.9    30070  1622072972654  1622072982908
read      388.7   347.2    74.4   114.7   136.9   326.5   422.1   480.2   526.6   582.5   660.5   840.6  1344.9  3758.2  9252.8  30080.4    30080  1622072984410  1622072994679
read      373.9   364.6    68.9   112.7   133.4   316.0   407.2   461.8   504.3   556.4   627.4   799.9  1284.2  3922.6 10814.5  29993.3    30090  1622072996182  1622073006440
read      391.7   406.0    74.4   111.2   131.2   317.5   413.0   471.6   521.9   584.8   684.3   929.4  1471.1  4075.1 12909.2  30075.6    30100  1622073007942  1622073018201
read      426.3   538.4    74.4   112.9   132.2   320.6   427.3   501.5   565.5   658.2   839.7  1086.0  1719.3  4856.3 19925.1  30127.6    30110  1622073019703  1622073029969
read      473.8   821.7    68.9   110.7   129.5   325.2   432.2   513.2   591.1   757.4   988.4  1267.4  2163.7 10652.1 31822.0  30032.2    30120  1622073031471  1622073041731
read      468.8   488.1    74.4   119.6   143.6   360.1   454.9   525.7   589.3   710.6  1028.2  1288.7  1671.6  4583.8 15647.2  30203.4    30130  1622073043233  1622073053504
